epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,9715.91,inf,2.23387,0.89,0.7301,0.87661,0.96656,0.96656,inf,0.68519,0.17933,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9859.27,0.09032,2.23817,0.89082,0.73143,0.87929,0.96682,0.96682,0.0399,0.6751,0.1792,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10015.3,0.09018,2.2382,0.88914,0.73864,0.87732,0.9669,0.9669,0.03956,0.66386,0.17901,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10168.3,0.088,2.22798,0.88945,0.73744,0.88019,0.96686,0.96686,0.03932,0.65394,0.17872,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10320.1,0.08801,2.21434,0.89008,0.74097,0.88038,0.96772,0.96772,0.0394,0.64443,0.17898,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10473.2,0.08648,2.19471,0.88853,0.74852,0.87914,0.96746,0.96746,0.03935,0.63563,0.17896,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10631.3,0.08604,2.18405,0.88859,0.7533,0.8791,0.9672,0.9672,0.03919,0.62641,0.17872,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10790.6,0.08376,2.17273,0.88779,0.75504,0.87925,0.96797,0.96797,inf,0.61807,0.17866,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10941.3,0.08271,2.17531,0.88908,0.7592,0.87829,0.96823,0.96823,inf,0.60961,0.17867,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11092.9,0.07978,2.16542,0.88606,0.74853,0.88763,0.96831,0.96831,inf,0.6017,0.17869,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11246.9,0.07921,2.14713,0.88773,0.75159,0.8861,0.96857,0.96857,0.03955,0.5938,0.1786,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11398.4,0.07853,2.14667,0.88689,0.757,0.88386,0.9693,0.9693,0.03962,0.58617,0.17844,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11554.5,0.07741,2.13793,0.88691,0.7607,0.88385,0.96972,0.96972,0.0396,0.57785,0.17818,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11706.2,0.07732,2.14154,0.88627,0.75834,0.88668,0.96955,0.96955,0.03955,0.56942,0.17798,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11857.7,inf,2.13678,0.88603,0.74396,0.90045,0.97006,0.97006,0.03978,0.56144,0.17786,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12009.2,0.07319,2.11898,0.88635,0.74897,0.8975,0.97006,0.97006,inf,0.55484,0.17792,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12162.7,0.07225,2.12102,0.88782,0.75292,0.8983,0.97006,0.97006,0.03991,0.54771,0.17775,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12315.4,0.07387,2.10723,0.88531,0.75948,0.89704,0.97032,0.97032,0.03959,0.5407,0.17757,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12468.8,0.07091,2.10604,0.8877,0.76946,0.89095,0.97058,0.97058,inf,0.53347,0.1773,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
